,,,NumberofStudents,NumberofStudents,NumberofStudents
,,,min,max,mean
DistrictType,SchoolType,BirthYear,,,
Gm,Gimnazjum,2003,1,39,11.633333333333333
Gm,Gimnazjum,2004,1,43,12.244813278008298
Gm,Gimnazjum,2005,1,43,12.800829875518673
Gm,Liceum ogólnokształcące,2000,2,137,31.464285714285715
Gm,Liceum ogólnokształcące,2001,3,126,30.035714285714285
Gm,Liceum ogólnokształcące,2002,3,110,30.125
Gm,Przedszkole,2012,1,119,15.905869910100476
Gm,Przedszkole,2013,1,110,15.769677760169044
Gm,Przedszkole,2014,1,110,15.75873015873016
Gm,Przedszkole,2015,1,115,16.310217046056113
Gm,Szkoła podstawowa,2006,1,265,25.413057530704588
Gm,Szkoła podstawowa,2007,1,280,26.021753176825328
Gm,Szkoła podstawowa,2008,1,265,25.351584393188187
Gm,Szkoła podstawowa,2009,1,247,24.17309765035568
Gm,Szkoła podstawowa,2010,1,221,23.402891670263273
Gm,Szkoła podstawowa,2011,1,206,22.53886010362694
Gm,Szkoła policealna,1994,1,96,11.285714285714286
Gm,Szkoła policealna,1995,1,96,11.142857142857142
Gm,Szkoła policealna,1996,1,96,11.142857142857142
Gm,Szkoła policealna,1997,1,96,10.666666666666666
Gm,Szkoła policealna,1998,1,90,10.428571428571429
Gm,Szkoła policealna,1999,1,90,10.095238095238095
M,Gimnazjum,2003,1,96,12.270777479892761
M,Gimnazjum,2004,1,102,12.517426273458446
M,Gimnazjum,2005,1,111,13.128
M,Liceum ogólnokształcące,2000,1,806,69.26408689748811
M,Liceum ogólnokształcące,2001,1,806,68.81805838424982
M,Liceum ogólnokształcące,2002,1,758,69.81368563685636
M,Przedszkole,2012,1,120,21.43877551020408
M,Przedszkole,2013,1,125,21.800939423388403
M,Przedszkole,2014,1,125,22.49894839022812
M,Przedszkole,2015,1,125,23.520064724919095
M,Szkoła podstawowa,2006,1,292,62.70286576168929
M,Szkoła podstawowa,2007,1,310,65.55301204819277
M,Szkoła podstawowa,2008,1,310,64.64186746987951
M,Szkoła podstawowa,2009,1,310,62.61144578313253
M,Szkoła podstawowa,2010,1,310,61.26395173453997
M,Szkoła podstawowa,2011,1,292,59.29037126471476
M,Szkoła policealna,1994,1,511,21.684603886397607
M,Szkoła policealna,1995,1,482,21.256716417910447
M,Szkoła policealna,1996,1,454,20.650674662668667
M,Szkoła policealna,1997,1,454,19.939006024096386
M,Szkoła policealna,1998,1,454,19.88394875659382
M,Szkoła policealna,1999,1,482,20.060286360211002
M-Gm,Gimnazjum,2003,1,54,15.761290322580646
M-Gm,Gimnazjum,2004,1,63,16.532467532467532
M-Gm,Gimnazjum,2005,1,63,17.246753246753247
M-Gm,Liceum ogólnokształcące,2000,1,221,45.89824561403509
M-Gm,Liceum ogólnokształcące,2001,1,221,45.01052631578948
M-Gm,Liceum ogólnokształcące,2002,1,227,45.03859649122807
M-Gm,Przedszkole,2012,1,110,22.958904109589042
M-Gm,Przedszkole,2013,1,106,22.883797827113842
M-Gm,Przedszkole,2014,1,113,23.065217391304348
M-Gm,Przedszkole,2015,1,126,23.92293144208038
M-Gm,Szkoła podstawowa,2006,1,363,41.135456772838644
M-Gm,Szkoła podstawowa,2007,1,385,42.58852344296711
M-Gm,Szkoła podstawowa,2008,1,385,41.35176758837942
M-Gm,Szkoła podstawowa,2009,1,363,39.27766106442577
M-Gm,Szkoła podstawowa,2010,1,320,38.04311251314406
M-Gm,Szkoła podstawowa,2011,1,320,36.80610098176718
M-Gm,Szkoła policealna,1994,1,76,11.47
M-Gm,Szkoła policealna,1995,1,72,11.23
M-Gm,Szkoła policealna,1996,1,68,10.85
M-Gm,Szkoła policealna,1997,1,64,10.43
M-Gm,Szkoła policealna,1998,1,64,10.33
M-Gm,Szkoła policealna,1999,1,70,10.464646464646465
